Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
17-Jun-2013,0.8273,EI324751,CNM13,132.13,EI324751 Govt,CNM13 Comdty,19-Jul-2010,19-Jul-2010,1-Jun-2021,2,ACT/ACT,3.25,13-Jun-2016,109.437
18-Jun-2013,0.8273,EI324751,CNM13,132.15,EI324751 Govt,CNM13 Comdty,19-Jul-2010,19-Jul-2010,1-Jun-2021,2,ACT/ACT,3.25,13-Jun-2016,109.375
19-Jun-2013,0.8273,EI324751,CNM13,131.97,EI324751 Govt,CNM13 Comdty,19-Jul-2010,19-Jul-2010,1-Jun-2021,2,ACT/ACT,3.25,13-Jun-2016,108.624
20-Jun-2013,0.7812,EI767213,CNU13,132.67,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,104.132
21-Jun-2013,0.7812,EI767213,CNU13,131.58,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.105
24-Jun-2013,0.7812,EI767213,CNU13,131.04,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.762
25-Jun-2013,0.7812,EI767213,CNU13,130.57,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.355
26-Jun-2013,0.7812,EI767213,CNU13,130.75,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.718
27-Jun-2013,0.7812,EI767213,CNU13,131.65,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.391
28-Jun-2013,0.7812,EI767213,CNU13,131.41,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.176
2-Jul-2013,0.7812,EI767213,CNU13,131.69,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.432
3-Jul-2013,0.7812,EI767213,CNU13,131.53,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.331
4-Jul-2013,0.7812,EI767213,CNU13,131.68,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.328
5-Jul-2013,0.7812,EI767213,CNU13,130.34,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.256
8-Jul-2013,0.7812,EI767213,CNU13,131.1,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.856
9-Jul-2013,0.7812,EI767213,CNU13,131.12,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.84
10-Jul-2013,0.7812,EI767213,CNU13,130.73,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,102.732
11-Jul-2013,0.7812,EI767213,CNU13,131.45,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.088
12-Jul-2013,0.7812,EI767213,CNU13,131.54,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.189
15-Jul-2013,0.7812,EI767213,CNU13,131.76,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.352
16-Jul-2013,0.7812,EI767213,CNU13,131.98,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,103.452
