Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
2/9/2012,0.8391,EH963117,CNH12,132.48,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.59
2/10/2012,0.8391,EH963117,CNH12,133.07,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.923
2/13/2012,0.8391,EH963117,CNH12,132.8,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.765
2/14/2012,0.8391,EH963117,CNH12,133.5,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.203
2/15/2012,0.8391,EH963117,CNH12,133.44,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.248
2/16/2012,0.8391,EH963117,CNH12,133.15,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.098
2/17/2012,0.8391,EH963117,CNH12,133.05,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.97
2/21/2012,0.8391,EH963117,CNH12,132.79,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.589
2/22/2012,0.8391,EH963117,CNH12,133.07,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.885
2/23/2012,0.8391,EH963117,CNH12,133.19,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,111.91
2/24/2012,0.8391,EH963117,CNH12,133.47,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.161
2/27/2012,0.8391,EH963117,CNH12,133.74,EH963117 Govt,CNH12 Comdty,9/8/2009,9/8/2009,6/1/2020,2,ACT/ACT,3.5,12-Mar,112.312
