Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,DayCount,CTD Maturity,CTD Coupon,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
21-Aug-2008,1.1529,912810ES,USU08,117.734375,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,139.671875
22-Aug-2008,1.1529,912810ES,USU08,117.6875,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,140.8125
25-Aug-2008,1.1529,912810ES,USU08,118.546875,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,140.171875
28-Aug-2008,1.1529,912810ES,USU08,118.78125,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,138.546875
2-Sep-2008,1.1529,912810ES,USU08,118.984375,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,137.828125
3-Sep-2008,1.1529,912810ES,USU08,119.453125,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,137.84375
4-Sep-2008,1.1529,912810ES,USU08,119.9375,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,139.734375
5-Sep-2008,1.1529,912810ES,USU08,119.9375,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,140.046875
8-Sep-2008,1.1529,912810ES,USU08,120.109375,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,139.21875
9-Sep-2008,1.1529,912810ES,USU08,121.046875,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,138.484375
10-Sep-2008,1.1529,912810ES,USU08,120.546875,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,138.21875
11-Sep-2008,1.1529,912810ES,USU08,120.84375,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,139.703125
15-Sep-2008,1.1529,912810ES,USU08,122.1875,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,138.734375
16-Sep-2008,1.1529,912810ES,USU08,122.546875,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,138.390625
17-Sep-2008,1.1529,912810ES,USU08,122.890625,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,140.328125
18-Sep-2008,1.1529,912810ES,USU08,122.796875,912810ES Govt,USU08 Comdty,ACT/ACT,15-Nov-2024,7.5,15-May-1994,2,15-Aug-1994,8-Sep-2016,140.578125
25-Sep-2008,1.1657,912810ET,USZ08,116.765625,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,141.015625
30-Sep-2008,1.1657,912810ET,USZ08,117.171875,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,142.078125
1-Oct-2008,1.1657,912810ET,USZ08,118.203125,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,142.84375
10-Oct-2008,1.1657,912810ET,USZ08,116.625,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,142.875
17-Oct-2008,1.1657,912810ET,USZ08,113.046875,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,142.546875
21-Oct-2008,1.1657,912810ET,USZ08,115.171875,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,144.03125
24-Oct-2008,1.1657,912810ET,USZ08,116.953125,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,143.75
27-Oct-2008,1.1657,912810ET,USZ08,117.328125,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,143.625
31-Oct-2008,1.1657,912810ET,USZ08,113.125,912810ET Govt,USZ08 Comdty,ACT/ACT,15-Feb-2025,7.625,15-Feb-1995,2,15-Feb-1995,8-Dec-2016,143.046875
