,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
12/26/2012,0.9504,912810FE,USH13,147.46875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,141.5703125
12/27/2012,0.9504,912810FE,USH13,148.34375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,141.71875
12/28/2012,0.9504,912810FE,USH13,148.375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,142.4609375
12/31/2012,0.9504,912810FE,USH13,147.5,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,141.09375
1/2/2013,0.9504,912810FE,USH13,145.71875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.6484375
1/3/2013,0.9504,912810FE,USH13,144.71875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,138.4609375
1/4/2013,0.9504,912810FE,USH13,144.5,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,138.7265625
1/7/2013,0.9504,912810FE,USH13,144.6875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,138.6171875
1/8/2013,0.9504,912810FE,USH13,145.1875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.1015625
1/9/2013,0.9504,912810FE,USH13,145.5,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.2734375
1/10/2013,0.9504,912810FE,USH13,144.84375,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,138.71875
1/11/2013,0.9504,912810FE,USH13,145.28125,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.234375
1/14/2013,0.9504,912810FE,USH13,145.46875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.484375
1/15/2013,0.9504,912810FE,USH13,145.96875,912810FE Govt,USH13 Comdty,ACT/ACT,8/15/2028,5.5,8/15/1998,2,8/17/1998,13-Mar,139.609375
