Date,QuotedSpread,SURVIVAL::1Y,RECOVERY::1Y,SURVIVAL::2Y,RECOVERY::2Y,SURVIVAL::3Y,RECOVERY::3Y,SURVIVAL::4Y,RECOVERY::4Y,SURVIVAL::5Y,RECOVERY::5Y,SURVIVAL::6Y,RECOVERY::6Y,SURVIVAL::7Y,RECOVERY::7Y,SURVIVAL::8Y,RECOVERY::8Y,SURVIVAL::9Y,RECOVERY::9Y,SURVIVAL::10Y,RECOVERY::10Y,SURVIVAL::11Y,RECOVERY::11Y,SURVIVAL::12Y,RECOVERY::12Y,SURVIVAL::15Y,RECOVERY::15Y,SURVIVAL::20Y,RECOVERY::20Y,SURVIVAL::25Y,RECOVERY::25Y
24-JAN-2012,91.80000000000001,0.9847938070537177,0.4,0.9698594457941084,0.4,0.9551515635645612,0.4,0.9406667258190538,0.4,0.9263627660881015,0.4,0.912314509379826,0.4,0.8984792939592255,0.4,0.8848538890631388,0.4,0.8713986300967763,0.4,0.8581839024555373,0.4,0.8451695756648399,0.4,0.8323526106532789,0.4,0.7950228975025239,0.4,0.7365104446084104,0.4,0.6822758527202246,0.4
26-JAN-2012,88.20000000000002,0.9853849360410166,0.4,0.9710225322742962,0.4,0.9568694666397246,0.4,0.9429226879451555,0.4,0.9291418125524606,0.4,0.9155991761873911,0.4,0.9022539294965766,0.4,0.8891031954417172,0.4,0.8761088953742001,0.4,0.8633392362909849,0.4,0.8507557004099908,0.4,0.838355574906531,0.4,0.8021968518152521,0.4,0.7453846205657747,0.4,0.6925680174012121,0.4
27-JAN-2012,88.0,0.9854177878474147,0.4,0.9710871908531504,0.4,0.9569649988752605,0.4,0.9430481811502069,0.4,0.929296452502565,0.4,0.9157820090723274,0.4,0.9024641016137243,0.4,0.8893398719707135,0.4,0.8763713292818835,0.4,0.8636265579857406,0.4,0.8510671295801782,0.4,0.8386903486863393,0.4,0.8025973085873145,0.4,0.7458807673237821,0.4,0.6931443510638817,0.4
30-JAN-2012,89.75,0.9851301090230233,0.4,0.9705210574363435,0.4,0.9561286517386761,0.4,0.9419496791655959,0.4,0.9279429901306053,0.4,0.9141819986756187,0.4,0.9006250767462798,0.4,0.887269198080169,0.4,0.8740756018374874,0.4,0.8611134403514622,0.4,0.8483435020896485,0.4,0.8357629364651308,0.4,0.7990968896155624,0.4,0.7415467104225439,0.4,0.6881130717910096,0.4
31-JAN-2012,88.5,0.9853354955217898,0.4,0.970925228017898,0.4,0.9567257068135943,0.4,0.942733849800737,0.4,0.9289091250385737,0.4,0.9153240780779714,0.4,0.9019377087877108,0.4,0.8887471115601185,0.4,0.8757140755626487,0.4,0.8629069919417564,0.4,0.8502872084858947,0.4,0.8378519859803556,0.4,0.8015945334922294,0.4,0.74463853245495,0.4,0.6917015276527351,0.4
01-FEB-2012,86.0,0.9857466720505462,0.4,0.9717346157597528,0.4,0.9579217361205914,0.4,0.9443052019041736,0.4,0.9308457101770582,0.4,0.9176140525322879,0.4,0.9045704784357516,0.4,0.891712314343282,0.4,0.8790024462903808,0.4,0.8665077231466091,0.4,0.8541906082758272,0.4,0.8420485770363708,0.4,0.8066166348125539,0.4,0.7508650854185696,0.4,0.6989395436836059,0.4
02-FEB-2012,86.30000000000001,0.9856972625509,0.4,0.9716373369502583,0.4,0.9577779612703743,0.4,0.9441162748794167,0.4,0.930612827678394,0.4,0.9173386230952345,0.4,0.904253760956188,0.4,0.8913555404921865,0.4,0.878606716222726,0.4,0.8660743236396861,0.4,0.8537206923396589,0.4,0.8415432724826122,0.4,0.8060115998391953,0.4,0.7501142584913021,0.4,0.6980659511764724,0.4
06-FEB-2012,81.005,0.986569444377334,0.4,0.9733552277026524,0.4,0.9603180036596811,0.4,0.9474554015901778,0.4,0.9347305491191255,0.4,0.9222106681529154,0.4,0.909858479811661,0.4,0.8976717380024051,0.4,0.8856155077942685,0.4,0.8737534789455667,0.4,0.8620503313801859,0.4,0.8505039370252215,0.4,0.8167542429087599,0.4,0.7634733473273186,0.4,0.7136418611850813,0.4
07-FEB-2012,80.82500000000002,0.9865994272167603,0.4,0.9734143102670338,0.4,0.9604054019225245,0.4,0.9475703472953183,0.4,0.9348723618891477,0.4,0.922378536041966,0.4,0.9100516802440264,0.4,0.8978895630733702,0.4,0.8858573286320942,0.4,0.874018549735033,0.4,0.8623379867055201,0.4,0.850813525114275,0.4,0.8171259055484952,0.4,0.7639365843217703,0.4,0.7141831989184213,0.4
08-FEB-2012,81.50000000000001,0.9864883083309764,0.4,0.97319535436999,0.4,0.9600815232871124,0.4,0.947144401397202,0.4,0.9343468782794812,0.4,0.9217565313573021,0.4,0.909335839666286,0.4,0.8970825170980642,0.4,0.8849614147253636,0.4,0.8730365381263732,0.4,0.8612723495297465,0.4,0.8496666836607413,0.4,0.8157492839353134,0.4,0.7622211272727424,0.4,0.712178930825954,0.4
