FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
01-JUL-2013, 02-JUL-2013,  0.25492478,  0.25500181,  0.25492659,  0.25500181,  0.00004603, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004603, JPY-LIBOR-3M
02-JUL-2013, 03-JUL-2013,  0.25492659,  0.25500181,  0.25492839,  0.25500181,  0.00004603,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004603, JPY-LIBOR-3M
03-JUL-2013, 04-JUL-2013,  0.25492839,  0.25500181,  0.25493020,  0.25500181,  0.00004603,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004603, JPY-LIBOR-3M
04-JUL-2013, 05-JUL-2013,  0.25493020,  0.25500181,  0.25493200,  0.25500181,  0.00004603,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004603, JPY-LIBOR-3M
05-JUL-2013, 08-JUL-2013,  0.25493200,  0.25500181,  0.25493742,  0.25500181,  0.00013810, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00013810, JPY-LIBOR-3M
08-JUL-2013, 09-JUL-2013,  0.25493742,  0.25500181,  0.25493922,  0.25500181,  0.00004603,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004603, JPY-LIBOR-3M
09-JUL-2013, 10-JUL-2013,  0.25493922,  0.25500181,  0.25494103,  0.25500181,  0.00004603,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004603, JPY-LIBOR-3M
10-JUL-2013, 11-JUL-2013,  0.25494103,  0.25500181,  0.25495483,  0.25000174, -0.12712726, -0.12747575,  0.00000000,  0.00000000, -0.12747575,  0.00034849, JPY-LIBOR-3M
11-JUL-2013, 12-JUL-2013,  0.25495483,  0.25000174,  0.25495660,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
12-JUL-2013, 15-JUL-2013,  0.25495660,  0.25000174,  0.25496191,  0.25000174,  0.00013275, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00013275, JPY-LIBOR-3M
15-JUL-2013, 16-JUL-2013,  0.25496191,  0.25000174,  0.25496368,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
16-JUL-2013, 17-JUL-2013,  0.25496368,  0.25000174,  0.25496545,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
17-JUL-2013, 18-JUL-2013,  0.25496545,  0.25000174,  0.25496722,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
18-JUL-2013, 19-JUL-2013,  0.25496722,  0.25000174,  0.25496899,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
19-JUL-2013, 22-JUL-2013,  0.25496899,  0.25000174,  0.25497430,  0.25000174,  0.00013276,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00013276, JPY-LIBOR-3M
22-JUL-2013, 23-JUL-2013,  0.25497430,  0.25000174,  0.25497607,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
23-JUL-2013, 24-JUL-2013,  0.25497607,  0.25000174,  0.25497784,  0.25000174,  0.00004425, -0.00000000,  0.00000000,  0.00000000, -0.00000000,  0.00004425, JPY-LIBOR-3M
24-JUL-2013, 25-JUL-2013,  0.25497784,  0.25000174,  0.25497961,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
25-JUL-2013, 26-JUL-2013,  0.25497961,  0.25000174,  0.25498138,  0.25000174,  0.00004425,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004425, JPY-LIBOR-3M
26-JUL-2013, 29-JUL-2013,  0.25498138,  0.25000174,  0.25498669,  0.25000174,  0.00013276,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00013276, JPY-LIBOR-3M
29-JUL-2013, 30-JUL-2013,  0.25498669,  0.25000174,  0.25498846,  0.25000174,  0.00004426,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.00004426, JPY-LIBOR-3M
