Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,FUT_ROLL_DT,SETTLE_DT
2-Aug-1989,YEU89,94.76,94.79,94.76,94.75,YEU89 Comdty,18-Sep-1989,16-Mar-2016
3-Aug-1989,YEU89,94.69,94.74,94.69,94.69,YEU89 Comdty,18-Sep-1989,16-Mar-2016
4-Aug-1989,YEU89,94.63,94.67,94.63,94.62,YEU89 Comdty,18-Sep-1989,16-Mar-2016
7-Aug-1989,YEU89,94.6,94.6,94.6,94.55,YEU89 Comdty,18-Sep-1989,16-Mar-2016
8-Aug-1989,YEU89,94.62,94.68,94.62,94.6,YEU89 Comdty,18-Sep-1989,16-Mar-2016
9-Aug-1989,YEU89,94.63,94.65,94.63,94.63,YEU89 Comdty,18-Sep-1989,16-Mar-2016
10-Aug-1989,YEU89,94.62,94.62,94.62,94.61,YEU89 Comdty,18-Sep-1989,16-Mar-2016
11-Aug-1989,YEU89,94.61,94.61,94.61,94.6,YEU89 Comdty,18-Sep-1989,16-Mar-2016
14-Aug-1989,YEU89,94.58,94.69,94.58,94.58,YEU89 Comdty,18-Sep-1989,16-Mar-2016
15-Aug-1989,YEU89,94.55,94.57,94.55,94.54,YEU89 Comdty,18-Sep-1989,16-Mar-2016
16-Aug-1989,YEU89,94.55,94.56,94.55,94.55,YEU89 Comdty,18-Sep-1989,16-Mar-2016
17-Aug-1989,YEU89,94.55,94.56,94.55,94.55,YEU89 Comdty,18-Sep-1989,16-Mar-2016
18-Aug-1989,YEU89,94.54,94.55,94.54,94.53,YEU89 Comdty,18-Sep-1989,16-Mar-2016
21-Aug-1989,YEU89,94.54,94.54,94.54,94.54,YEU89 Comdty,18-Sep-1989,16-Mar-2016
22-Aug-1989,YEU89,94.56,94.56,94.56,94.54,YEU89 Comdty,18-Sep-1989,16-Mar-2016
23-Aug-1989,YEU89,94.57,94.57,94.57,94.56,YEU89 Comdty,18-Sep-1989,16-Mar-2016
24-Aug-1989,YEU89,94.56,94.57,94.56,94.55,YEU89 Comdty,18-Sep-1989,16-Mar-2016
25-Aug-1989,YEU89,94.55,94.57,94.55,94.55,YEU89 Comdty,18-Sep-1989,16-Mar-2016
28-Aug-1989,YEU89,94.55,94.55,94.55,94.54,YEU89 Comdty,18-Sep-1989,16-Mar-2016
29-Aug-1989,YEU89,94.53,94.54,94.53,94.53,YEU89 Comdty,18-Sep-1989,16-Mar-2016
30-Aug-1989,YEU89,94.52,94.53,94.52,94.52,YEU89 Comdty,18-Sep-1989,16-Mar-2016
31-Aug-1989,YEU89,94.48,94.5,94.48,94.48,YEU89 Comdty,18-Sep-1989,16-Mar-2016
4-Sep-1989,YEU89,94.44,94.46,94.44,94.43,YEU89 Comdty,18-Sep-1989,16-Mar-2016
6-Sep-1989,YEU89,94.4,94.43,94.4,94.39,YEU89 Comdty,18-Sep-1989,16-Mar-2016
7-Sep-1989,YEU89,94.39,94.41,94.39,94.38,YEU89 Comdty,18-Sep-1989,16-Mar-2016
8-Sep-1989,YEU89,94.32,94.39,94.32,94.32,YEU89 Comdty,18-Sep-1989,16-Mar-2016
11-Sep-1989,YEU89,94.26,94.28,94.26,94.22,YEU89 Comdty,18-Sep-1989,16-Mar-2016
12-Sep-1989,YEU89,94.28,94.3,94.28,94.26,YEU89 Comdty,18-Sep-1989,16-Mar-2016
13-Sep-1989,YEU89,94.29,94.3,94.29,94.27,YEU89 Comdty,18-Sep-1989,16-Mar-2016
14-Sep-1989,YEU89,94.31,94.31,94.31,94.29,YEU89 Comdty,18-Sep-1989,16-Mar-2016
18-Sep-1989,YEU89,94.22,94.22,94.22,94.21,YEU89 Comdty,18-Sep-1989,16-Mar-2016
19-Sep-1989,YEZ89,94.37,94.39,94.37,94.35,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
20-Sep-1989,YEZ89,94.36,94.38,94.36,94.35,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
21-Sep-1989,YEZ89,94.37,94.4,94.37,94.37,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
22-Sep-1989,YEZ89,94.41,94.41,94.41,94.37,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
25-Sep-1989,YEZ89,94.54,94.55,94.54,94.45,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
26-Sep-1989,YEZ89,94.48,94.55,94.48,94.47,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
27-Sep-1989,YEZ89,94.48,94.53,94.48,94.47,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
28-Sep-1989,YEZ89,94.46,94.49,94.46,94.44,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
29-Sep-1989,YEZ89,94.46,94.46,94.46,94.42,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
2-Oct-1989,YEZ89,94.4,94.46,94.4,94.39,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
3-Oct-1989,YEZ89,94.32,94.38,94.32,94.31,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
4-Oct-1989,YEZ89,94.32,94.32,94.32,94.26,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
5-Oct-1989,YEZ89,94.3,94.32,94.3,94.28,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
6-Oct-1989,YEZ89,94.13,94.24,94.13,94.12,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
11-Oct-1989,YEZ89,93.83,94,93.83,93.78,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
12-Oct-1989,YEZ89,93.67,93.79,93.67,93.56,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
13-Oct-1989,YEZ89,93.75,93.77,93.75,93.68,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
16-Oct-1989,YEZ89,94.12,94.12,94.12,93.87,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
17-Oct-1989,YEZ89,93.88,93.95,93.88,93.82,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
18-Oct-1989,YEZ89,93.86,93.87,93.86,93.81,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
19-Oct-1989,YEZ89,93.87,93.94,93.87,93.88,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
23-Oct-1989,YEZ89,93.78,93.85,93.78,93.78,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
24-Oct-1989,YEZ89,93.68,93.77,93.68,93.65,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
25-Oct-1989,YEZ89,93.71,93.74,93.71,93.68,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
26-Oct-1989,YEZ89,93.7,93.71,93.7,93.69,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
27-Oct-1989,YEZ89,93.58,93.61,93.58,93.54,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
30-Oct-1989,YEZ89,93.56,93.57,93.56,93.52,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
31-Oct-1989,YEZ89,93.59,93.59,93.59,93.53,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
1-Nov-1989,YEZ89,93.55,93.56,93.55,93.53,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
2-Nov-1989,YEZ89,93.44,93.5,93.44,93.44,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
6-Nov-1989,YEZ89,93.24,93.35,93.24,93.23,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
7-Nov-1989,YEZ89,93.27,93.3,93.27,93.22,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
8-Nov-1989,YEZ89,93.34,93.4,93.34,93.28,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
9-Nov-1989,YEZ89,93.26,93.31,93.26,93.24,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
10-Nov-1989,YEZ89,93.22,93.24,93.22,93.15,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
13-Nov-1989,YEZ89,93.19,93.19,93.19,93.16,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
14-Nov-1989,YEZ89,93.17,93.17,93.17,93.15,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
15-Nov-1989,YEZ89,93.27,93.27,93.27,93.18,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
16-Nov-1989,YEZ89,93.26,93.27,93.26,93.23,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
17-Nov-1989,YEZ89,93.32,93.33,93.32,93.25,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
20-Nov-1989,YEZ89,93.34,93.35,93.34,93.3,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
21-Nov-1989,YEZ89,93.26,93.33,93.26,93.24,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
22-Nov-1989,YEZ89,93.21,93.25,93.21,93.2,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
24-Nov-1989,YEZ89,93.25,93.25,93.25,93.2,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
27-Nov-1989,YEZ89,93.28,93.28,93.28,93.23,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
28-Nov-1989,YEZ89,93.26,93.27,93.26,93.25,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
29-Nov-1989,YEZ89,93.28,93.28,93.28,93.25,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
30-Nov-1989,YEZ89,93.35,93.36,93.35,93.3,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
1-Dec-1989,YEZ89,93.35,93.39,93.35,93.34,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
4-Dec-1989,YEZ89,93.36,93.37,93.36,93.34,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
5-Dec-1989,YEZ89,93.39,93.39,93.39,93.36,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
6-Dec-1989,YEZ89,93.46,93.48,93.46,93.41,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
7-Dec-1989,YEZ89,93.44,93.52,93.44,93.42,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
8-Dec-1989,YEZ89,93.44,93.44,93.44,93.4,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
11-Dec-1989,YEZ89,93.39,93.42,93.39,93.39,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
12-Dec-1989,YEZ89,93.4,93.4,93.4,93.37,YEZ89 Comdty,12-Dec-1989,16-Mar-2016
13-Dec-1989,YEH90,93.65,93.65,93.65,93.6,YEH90 Comdty,1-Mar-1990,16-Mar-2016
14-Dec-1989,YEH90,93.64,93.64,93.64,93.6,YEH90 Comdty,1-Mar-1990,16-Mar-2016
15-Dec-1989,YEH90,93.63,93.64,93.63,93.62,YEH90 Comdty,1-Mar-1990,16-Mar-2016
18-Dec-1989,YEH90,93.63,93.63,93.63,93.61,YEH90 Comdty,1-Mar-1990,16-Mar-2016
19-Dec-1989,YEH90,93.37,93.5,93.37,93.05,YEH90 Comdty,1-Mar-1990,16-Mar-2016
20-Dec-1989,YEH90,93.18,93.32,93.18,93.18,YEH90 Comdty,1-Mar-1990,16-Mar-2016
21-Dec-1989,YEH90,93.15,93.19,93.15,93.13,YEH90 Comdty,1-Mar-1990,16-Mar-2016
22-Dec-1989,YEH90,93.19,93.24,93.19,93.16,YEH90 Comdty,1-Mar-1990,16-Mar-2016
26-Dec-1989,YEH90,93.24,93.25,93.24,93.08,YEH90 Comdty,1-Mar-1990,16-Mar-2016
27-Dec-1989,YEH90,93.27,93.28,93.27,93.26,YEH90 Comdty,1-Mar-1990,16-Mar-2016
28-Dec-1989,YEH90,93.29,93.3,93.29,93.27,YEH90 Comdty,1-Mar-1990,16-Mar-2016
4-Jan-1990,YEH90,93.13,93.15,93.13,93.05,YEH90 Comdty,1-Mar-1990,16-Mar-2016
5-Jan-1990,YEH90,93.16,93.21,93.16,93.15,YEH90 Comdty,1-Mar-1990,16-Mar-2016
8-Jan-1990,YEH90,93.12,93.15,93.12,93.11,YEH90 Comdty,1-Mar-1990,16-Mar-2016
9-Jan-1990,YEH90,93.08,93.12,93.08,93.04,YEH90 Comdty,1-Mar-1990,16-Mar-2016
10-Jan-1990,YEH90,93.03,93.05,93.03,92.99,YEH90 Comdty,1-Mar-1990,16-Mar-2016
11-Jan-1990,YEH90,93,93.03,93,93,YEH90 Comdty,1-Mar-1990,16-Mar-2016
12-Jan-1990,YEH90,92.91,93,92.91,92.9,YEH90 Comdty,1-Mar-1990,16-Mar-2016
16-Jan-1990,YEH90,92.81,92.88,92.81,92.76,YEH90 Comdty,1-Mar-1990,16-Mar-2016
17-Jan-1990,YEH90,92.79,92.86,92.79,92.78,YEH90 Comdty,1-Mar-1990,16-Mar-2016
18-Jan-1990,YEH90,92.7,92.81,92.7,92.69,YEH90 Comdty,1-Mar-1990,16-Mar-2016
19-Jan-1990,YEH90,92.67,92.69,92.67,92.58,YEH90 Comdty,1-Mar-1990,16-Mar-2016
22-Jan-1990,YEH90,92.66,92.68,92.66,92.63,YEH90 Comdty,1-Mar-1990,16-Mar-2016
23-Jan-1990,YEH90,92.59,92.65,92.59,92.59,YEH90 Comdty,1-Mar-1990,16-Mar-2016
24-Jan-1990,YEH90,92.6,92.65,92.6,92.58,YEH90 Comdty,1-Mar-1990,16-Mar-2016
25-Jan-1990,YEH90,92.65,92.66,92.65,92.62,YEH90 Comdty,1-Mar-1990,16-Mar-2016
26-Jan-1990,YEH90,92.7,92.76,92.7,92.68,YEH90 Comdty,1-Mar-1990,16-Mar-2016
29-Jan-1990,YEH90,92.73,92.8,92.73,92.72,YEH90 Comdty,1-Mar-1990,16-Mar-2016
30-Jan-1990,YEH90,92.69,92.72,92.69,92.67,YEH90 Comdty,1-Mar-1990,16-Mar-2016
31-Jan-1990,YEH90,92.67,92.67,92.67,92.61,YEH90 Comdty,1-Mar-1990,16-Mar-2016
1-Feb-1990,YEH90,92.73,92.73,92.73,92.69,YEH90 Comdty,1-Mar-1990,16-Mar-2016
2-Feb-1990,YEH90,92.74,92.76,92.74,92.72,YEH90 Comdty,1-Mar-1990,16-Mar-2016
5-Feb-1990,YEH90,92.72,92.74,92.72,92.71,YEH90 Comdty,1-Mar-1990,16-Mar-2016
6-Feb-1990,YEH90,92.74,92.75,92.74,92.74,YEH90 Comdty,1-Mar-1990,16-Mar-2016
7-Feb-1990,YEH90,92.74,92.75,92.74,92.73,YEH90 Comdty,1-Mar-1990,16-Mar-2016
8-Feb-1990,YEH90,92.7,92.74,92.7,92.7,YEH90 Comdty,1-Mar-1990,16-Mar-2016
9-Feb-1990,YEH90,92.73,92.73,92.73,92.71,YEH90 Comdty,1-Mar-1990,16-Mar-2016
13-Feb-1990,YEH90,92.72,92.73,92.72,92.72,YEH90 Comdty,1-Mar-1990,16-Mar-2016
14-Feb-1990,YEH90,92.7,92.71,92.7,92.68,YEH90 Comdty,1-Mar-1990,16-Mar-2016
15-Feb-1990,YEH90,92.69,92.69,92.69,92.62,YEH90 Comdty,1-Mar-1990,16-Mar-2016
16-Feb-1990,YEH90,92.64,92.68,92.64,92.63,YEH90 Comdty,1-Mar-1990,16-Mar-2016
19-Feb-1990,YEH90,92.61,92.64,92.61,92.61,YEH90 Comdty,1-Mar-1990,16-Mar-2016
20-Feb-1990,YEH90,92.6,92.6,92.6,92.55,YEH90 Comdty,1-Mar-1990,16-Mar-2016
21-Feb-1990,YEH90,92.69,92.69,92.69,92.58,YEH90 Comdty,1-Mar-1990,16-Mar-2016
22-Feb-1990,YEH90,92.67,92.71,92.67,92.65,YEH90 Comdty,1-Mar-1990,16-Mar-2016
23-Feb-1990,YEH90,92.65,92.68,92.65,92.63,YEH90 Comdty,1-Mar-1990,16-Mar-2016
26-Feb-1990,YEH90,92.63,92.63,92.63,92.6,YEH90 Comdty,1-Mar-1990,16-Mar-2016
27-Feb-1990,YEH90,92.6,92.62,92.6,92.6,YEH90 Comdty,1-Mar-1990,16-Mar-2016
28-Feb-1990,YEH90,92.6,92.62,92.6,92.59,YEH90 Comdty,1-Mar-1990,16-Mar-2016
1-Mar-1990,YEH90,92.57,92.59,92.57,92.57,YEH90 Comdty,1-Mar-1990,16-Mar-2016
2-Mar-1990,YEH90,92.5,92.55,92.5,92.49,YEH90 Comdty,1-Mar-1990,16-Mar-2016
5-Mar-1990,YEH90,92.49,92.49,92.49,92.46,YEH90 Comdty,1-Mar-1990,16-Mar-2016
6-Mar-1990,YEH90,92.49,92.5,92.49,92.48,YEH90 Comdty,1-Mar-1990,16-Mar-2016
7-Mar-1990,YEH90,92.44,92.46,92.44,92.42,YEH90 Comdty,1-Mar-1990,16-Mar-2016
8-Mar-1990,YEH90,92.44,92.46,92.44,92.44,YEH90 Comdty,1-Mar-1990,16-Mar-2016
9-Mar-1990,YEH90,92.43,92.44,92.43,92.43,YEH90 Comdty,1-Mar-1990,16-Mar-2016
12-Mar-1990,YEH90,92.38,92.44,92.38,92.38,YEH90 Comdty,1-Mar-1990,16-Mar-2016
13-Mar-1990,YEM90,92.03,92.15,92.03,92.03,YEM90 Comdty,1-Jun-1990,16-Mar-2016
14-Mar-1990,YEM90,91.96,92.06,91.96,91.96,YEM90 Comdty,1-Jun-1990,16-Mar-2016
15-Mar-1990,YEM90,92.01,92.05,92.01,91.95,YEM90 Comdty,1-Jun-1990,16-Mar-2016
16-Mar-1990,YEM90,92.03,92.04,92.03,91.99,YEM90 Comdty,1-Jun-1990,16-Mar-2016
19-Mar-1990,YEM90,92.04,92.08,92.04,92.01,YEM90 Comdty,1-Jun-1990,16-Mar-2016
20-Mar-1990,YEM90,92.08,92.14,92.08,92.07,YEM90 Comdty,1-Jun-1990,16-Mar-2016
22-Mar-1990,YEM90,92.19,92.2,92.19,92.01,YEM90 Comdty,1-Jun-1990,16-Mar-2016
23-Mar-1990,YEM90,92.22,92.34,92.22,92.21,YEM90 Comdty,1-Jun-1990,16-Mar-2016
26-Mar-1990,YEM90,92.24,92.25,92.24,92.18,YEM90 Comdty,1-Jun-1990,16-Mar-2016
27-Mar-1990,YEM90,92.19,92.22,92.19,92.18,YEM90 Comdty,1-Jun-1990,16-Mar-2016
28-Mar-1990,YEM90,92.15,92.15,92.15,92.09,YEM90 Comdty,1-Jun-1990,16-Mar-2016
29-Mar-1990,YEM90,92.25,92.25,92.25,92.15,YEM90 Comdty,1-Jun-1990,16-Mar-2016
30-Mar-1990,YEM90,92.25,92.31,92.25,92.25,YEM90 Comdty,1-Jun-1990,16-Mar-2016
2-Apr-1990,YEM90,92.27,92.28,92.27,92.17,YEM90 Comdty,1-Jun-1990,16-Mar-2016
3-Apr-1990,YEM90,92.3,92.35,92.3,92.28,YEM90 Comdty,1-Jun-1990,16-Mar-2016
4-Apr-1990,YEM90,92.31,92.31,92.31,92.28,YEM90 Comdty,1-Jun-1990,16-Mar-2016
5-Apr-1990,YEM90,92.32,92.36,92.32,92.32,YEM90 Comdty,1-Jun-1990,16-Mar-2016
6-Apr-1990,YEM90,92.32,92.36,92.32,92.32,YEM90 Comdty,1-Jun-1990,16-Mar-2016
9-Apr-1990,YEM90,92.38,92.4,92.38,92.37,YEM90 Comdty,1-Jun-1990,16-Mar-2016
10-Apr-1990,YEM90,92.31,92.35,92.31,92.31,YEM90 Comdty,1-Jun-1990,16-Mar-2016
11-Apr-1990,YEM90,92.24,92.32,92.24,92.22,YEM90 Comdty,1-Jun-1990,16-Mar-2016
12-Apr-1990,YEM90,92.22,92.24,92.22,92.21,YEM90 Comdty,1-Jun-1990,16-Mar-2016
13-Apr-1990,YEM90,92.15,92.22,92.15,92.15,YEM90 Comdty,1-Jun-1990,16-Mar-2016
16-Apr-1990,YEM90,92.12,92.13,92.12,92.09,YEM90 Comdty,1-Jun-1990,16-Mar-2016
17-Apr-1990,YEM90,92.19,92.2,92.19,92.09,YEM90 Comdty,1-Jun-1990,16-Mar-2016
18-Apr-1990,YEM90,92.23,92.24,92.23,92.14,YEM90 Comdty,1-Jun-1990,16-Mar-2016
19-Apr-1990,YEM90,92.3,92.31,92.3,92.26,YEM90 Comdty,1-Jun-1990,16-Mar-2016
20-Apr-1990,YEM90,92.31,92.35,92.31,92.28,YEM90 Comdty,1-Jun-1990,16-Mar-2016
23-Apr-1990,YEM90,92.28,92.32,92.28,92.28,YEM90 Comdty,1-Jun-1990,16-Mar-2016
24-Apr-1990,YEM90,92.31,92.31,92.31,92.25,YEM90 Comdty,1-Jun-1990,16-Mar-2016
25-Apr-1990,YEM90,92.35,92.37,92.35,92.28,YEM90 Comdty,1-Jun-1990,16-Mar-2016
26-Apr-1990,YEM90,92.38,92.4,92.38,92.36,YEM90 Comdty,1-Jun-1990,16-Mar-2016
27-Apr-1990,YEM90,92.43,92.44,92.43,92.36,YEM90 Comdty,1-Jun-1990,16-Mar-2016
1-May-1990,YEM90,92.46,92.48,92.46,92.45,YEM90 Comdty,1-Jun-1990,16-Mar-2016
2-May-1990,YEM90,92.47,92.47,92.47,92.44,YEM90 Comdty,1-Jun-1990,16-Mar-2016
7-May-1990,YEM90,92.56,92.57,92.56,92.51,YEM90 Comdty,1-Jun-1990,16-Mar-2016
8-May-1990,YEM90,92.57,92.58,92.57,92.55,YEM90 Comdty,1-Jun-1990,16-Mar-2016
9-May-1990,YEM90,92.59,92.59,92.59,92.57,YEM90 Comdty,1-Jun-1990,16-Mar-2016
10-May-1990,YEM90,92.57,92.59,92.57,92.56,YEM90 Comdty,1-Jun-1990,16-Mar-2016
11-May-1990,YEM90,92.61,92.61,92.61,92.58,YEM90 Comdty,1-Jun-1990,16-Mar-2016
14-May-1990,YEM90,92.64,92.65,92.64,92.62,YEM90 Comdty,1-Jun-1990,16-Mar-2016
15-May-1990,YEM90,92.62,92.65,92.62,92.61,YEM90 Comdty,1-Jun-1990,16-Mar-2016
16-May-1990,YEM90,92.6,92.62,92.6,92.58,YEM90 Comdty,1-Jun-1990,16-Mar-2016
17-May-1990,YEM90,92.58,92.59,92.58,92.56,YEM90 Comdty,1-Jun-1990,16-Mar-2016
18-May-1990,YEM90,92.53,92.56,92.53,92.52,YEM90 Comdty,1-Jun-1990,16-Mar-2016
21-May-1990,YEM90,92.51,92.51,92.51,92.46,YEM90 Comdty,1-Jun-1990,16-Mar-2016
22-May-1990,YEM90,92.57,92.57,92.57,92.51,YEM90 Comdty,1-Jun-1990,16-Mar-2016
23-May-1990,YEM90,92.55,92.59,92.55,92.55,YEM90 Comdty,1-Jun-1990,16-Mar-2016
24-May-1990,YEM90,92.54,92.55,92.54,92.53,YEM90 Comdty,1-Jun-1990,16-Mar-2016
25-May-1990,YEM90,92.58,92.58,92.58,92.55,YEM90 Comdty,1-Jun-1990,16-Mar-2016
28-May-1990,YEM90,92.6,92.6,92.6,92.58,YEM90 Comdty,1-Jun-1990,16-Mar-2016
29-May-1990,YEM90,92.58,92.6,92.58,92.58,YEM90 Comdty,1-Jun-1990,16-Mar-2016
30-May-1990,YEM90,92.59,92.61,92.59,92.58,YEM90 Comdty,1-Jun-1990,16-Mar-2016
31-May-1990,YEM90,92.6,92.6,92.6,92.59,YEM90 Comdty,1-Jun-1990,16-Mar-2016
1-Jun-1990,YEM90,92.63,92.63,92.63,92.61,YEM90 Comdty,1-Jun-1990,16-Mar-2016
4-Jun-1990,YEM90,92.63,92.65,92.63,92.63,YEM90 Comdty,1-Jun-1990,16-Mar-2016
5-Jun-1990,YEM90,92.62,92.63,92.62,92.62,YEM90 Comdty,1-Jun-1990,16-Mar-2016
6-Jun-1990,YEM90,92.62,92.63,92.62,92.61,YEM90 Comdty,1-Jun-1990,16-Mar-2016
7-Jun-1990,YEM90,92.59,92.62,92.59,92.59,YEM90 Comdty,1-Jun-1990,16-Mar-2016
8-Jun-1990,YEM90,92.6,92.61,92.6,92.6,YEM90 Comdty,1-Jun-1990,16-Mar-2016
11-Jun-1990,YEM90,92.6,92.6,92.6,92.59,YEM90 Comdty,1-Jun-1990,16-Mar-2016
12-Jun-1990,YEM90,92.61,92.61,92.61,92.59,YEM90 Comdty,1-Jun-1990,16-Mar-2016
13-Jun-1990,YEM90,92.62,92.62,92.62,92.6,YEM90 Comdty,1-Jun-1990,16-Mar-2016
14-Jun-1990,YEM90,92.64,92.64,92.64,92.62,YEM90 Comdty,1-Jun-1990,16-Mar-2016
15-Jun-1990,YEM90,92.65,92.65,92.65,92.62,YEM90 Comdty,1-Jun-1990,16-Mar-2016
18-Jun-1990,YEM90,92.67,92.67,92.67,92.62,YEM90 Comdty,1-Jun-1990,16-Mar-2016
19-Jun-1990,YEU90,92.54,92.55,92.54,92.53,YEU90 Comdty,1-Sep-1990,16-Mar-2016
20-Jun-1990,YEU90,92.53,92.54,92.53,92.51,YEU90 Comdty,1-Sep-1990,16-Mar-2016
21-Jun-1990,YEU90,92.46,92.49,92.46,92.46,YEU90 Comdty,1-Sep-1990,16-Mar-2016
22-Jun-1990,YEU90,92.43,92.44,92.43,92.41,YEU90 Comdty,1-Sep-1990,16-Mar-2016
